,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
126,2009,1885.0,1885.0,1885.0,2008-11-19,148265713,PETRA INDUSTRIES INCORPORATED
127,2009,19047.62,19047.62,19047.62,2008-12-17,053510694,COMPASS SYSTEMS CONSULTING INCORPORATED
128,2009,14423.08,14423.08,53739.0,2008-10-03,153882964,SCIENCE APPLICATIONS INTERNATIONAL CORPORATION
129,2009,1887.5,1887.5,1887.5,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
130,2009,90.68,90.68,90.68,2008-11-28,829160865,ARROW ENTERPRISE COMPUTING SOLUTIONS INC.
131,2009,1491072.04,480769.23,10309568.12,2008-10-09,009260337,ALPHA-OMEGA CHANGE ENGINEERING
132,2009,68983.7,68983.7,0.0,2008-11-07,613194799,"QINETIQ NORTH AMERICA, INC."
133,2009,26251.0,26251.0,51251.0,2008-12-31,118610000,JASPERSOFT CORPORATION
134,2009,3975.0,3975.0,3975.0,2008-10-02,148265713,PETRA INDUSTRIES INCORPORATED
135,2009,377.5,377.5,377.5,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
136,2009,2120.0,2120.0,2120.0,2008-12-18,148265713,PETRA INDUSTRIES INCORPORATED
137,2009,4152.5,4152.5,4152.5,2008-11-28,148265713,PETRA INDUSTRIES INCORPORATED
138,2009,241738.91,241738.91,241738.91,2008-12-05,095247321,COMTECH LLC
139,2009,530.0,530.0,530.0,2008-12-29,148265713,PETRA INDUSTRIES INCORPORATED
140,2009,3031.73,3031.73,3031.73,2008-12-24,155143050,"FOX RIVER GRAPHICS, INC"
141,2009,156340.0,156340.0,156340.0,2008-12-23,116193400,"ADVANCED COMPUTER CONCEPTS, IN"
142,2009,332.0,332.0,332.0,2008-10-22,148265713,PETRA INDUSTRIES INCORPORATED
143,2009,4530.0,4530.0,4530.0,2008-11-24,148265713,PETRA INDUSTRIES INCORPORATED
144,2009,1333097.0,500000.0,6715330.0,2008-12-09,006928857,BOOZ ALLEN HAMILTON INC
145,2009,125970.9,125970.9,125970.9,2008-11-20,808621247,"HOLLAND TECHNOLOGIES, INC"
146,2009,104485.7,104485.7,0.0,2008-10-29,150780674,UNISYS CORPORATION
147,2009,178717.31,178717.31,178717.31,2008-12-22,177153319,"L-3 COMMUNICATIONS GOVERNMENT SERVICES, INC"
148,2009,3775.0,3775.0,3775.0,2008-11-18,148265713,PETRA INDUSTRIES INCORPORATED
149,2009,265.0,265.0,265.0,2008-11-17,148265713,PETRA INDUSTRIES INCORPORATED
150,2009,2784.0,2784.0,2784.0,2008-11-06,786468199,"DLT SOLUTIONS, INC."
