,action_date_fiscal_year,base_and_exercised_options_value,federal_action_obligation,base_and_all_options_value,action_date,recipient_duns,recipient_name
162,2009,93986.96,93986.96,93986.96,2009-09-24,136483802,EG SOLUTIONS LIMITED LIABILITY COMPANY
163,2009,141076.03,141076.03,141076.03,2009-03-24,153874623,PRAGMATICS INC
164,2009,64300.0,64300.0,64300.0,2009-07-28,809424666,DIGITAL SOLUTIONS INCORPORATED (8878)
165,2009,629.63,629.63,629.63,2009-03-19,131623634,IMERNET LIMITED LIABILITY PARTNERSHIP
166,2009,18970.82,18970.82,88043.57,2009-09-15,098692374,IMMIXTECHNOLOGY INC
167,2009,5686.65,5686.65,5686.65,2008-11-24,615381907,ST NET-APPTIS FIRSTSOURCE JOINT VENTURE
168,2009,409779.32,409779.32,409779.32,2009-09-08,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
169,2009,20787.62,20787.62,20787.62,2009-09-24,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
170,2009,57047.05,0.0,57047.05,2009-09-30,942408766,M A FEDERAL INCORPORATED (2233)
171,2009,144377.67,144377.67,0.0,2009-09-22,063134175,ENVIRONMENTAL SYSTEMS RESEARCH
172,2009,130015.76,130015.76,130015.76,2009-04-30,931219716,AVAYA INCORPORATED GOVERNMENT SOLUTIONS BRANCH
173,2009,261264.0,261264.0,261264.0,2009-09-30,361150469,"AINS, INC"
174,2009,1098864.0,1098864.0,1098864.0,2009-03-19,081466849,MICROSOFT CORPORATION SITZ IN REDMOND CORPORATION
175,2009,182765.66,182765.66,182765.66,2009-07-23,614767403,MULTIMAXARRAY FIRSTSOURCE
176,2009,19789.56,19789.56,19789.56,2009-03-10,619719693,WILDFLOWER INTERNATIONAL LIMITED
177,2009,7514.0,7514.0,7514.0,2009-05-13,061354270,NIDA CORPORATION
178,2009,3702.24,3702.24,3702.24,2009-08-31,619719693,WILDFLOWER INTERNATIONAL LIMITED
179,2009,8813.7,8813.7,8813.7,2009-06-25,088365767,CARAHSOFT TECHNOLOGY CORPORATION
180,2009,343118.41,343118.41,343118.41,2009-09-09,077817617,ELECTRONIC DATA SYSTEMS CORPORATION
181,2009,2059.91,2059.91,63594.6,2009-01-07,061079273,RICOH AMERICAS CORPORATION
182,2009,201000.0,201000.0,201000.0,2009-02-26,191341627,CENTECH GROUP INC
183,2009,201300.8,201300.8,402601.6,2009-09-29,969115112,"ADVANCED SOFTWARE SYSTEMS, INC"
184,2009,305000.0,305000.0,0.0,2009-03-21,003548489,AT&T MOBILITY LLC
185,2009,16174.8,16174.8,16174.8,2009-04-21,957050883,GOVPLACE
186,2009,557215.29,6710.0,557215.29,2009-01-08,138434712,"HELITUNE, INC."
187,2009,17092.5,17092.5,17092.5,2009-05-18,619719693,WILDFLOWER INTERNATIONAL LIMITED
188,2009,51458.28,51458.28,51458.28,2009-03-10,619719693,WILDFLOWER INTERNATIONAL LIMITED
189,2009,6667.69,6667.69,6667.69,2009-05-12,175320761,"APPTIS (MCLEAN), INC"
190,2009,16068.0,16068.0,20000.0,2009-07-07,786643502,COMBYTE U S A
191,2009,297513.86,297513.86,297513.86,2009-09-30,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
192,2009,1298043.68,1298043.68,1298043.68,2009-09-29,603814054,GOVERNMENT ACQUISITIONS INCORPORATED
193,2009,54855.73,54855.73,54855.73,2009-08-26,054007823,NET DIRECT SYSTEMS LIMITED LIABILITY COMPANY
194,2009,313505.4,313505.4,313505.4,2009-08-24,961003720,NCS TECHNOLOGIES INCORPORATED
195,2009,48223.77,48223.77,48223.77,2009-04-15,790470749,"AVAYA FEDERAL SOLUTIONS, INC."
196,2009,51089.13,51089.13,51089.13,2009-08-30,957050883,GOVPLACE
